Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
66.9,50096417696,2108,23764904.0,7584.0,1824,7744419328,345877381.8,cudaStreamSynchronize
18.2,13657966880,124854,109391.5,12544.0,2144,1847914784,11661526.4,cudaLaunchKernel
3.3,2437975040,576,4232595.6,3788064.0,385024,54618976,4580782.5,cuMemExportToShareableHandle
2.3,1717401728,3880,442629.3,263152.0,39360,49467616,1817378.9,cuMemSetAccess
1.5,1134726624,111988,10132.6,10080.0,1696,9044576,63423.3,cuLaunchKernelEx
1.2,875840224,1172,747303.9,391072.0,3040,78940672,3878820.7,cudaMalloc
1.1,804957440,576,1397495.6,1038672.0,73856,49954272,3163845.2,cuMemImportFromShareableHandle
0.9,642578560,73656,8724.0,8640.0,1024,770880,9086.0,cudaMemsetAsync
0.6,423134016,3308,127912.3,109264.0,22464,2359904,115291.1,cuMemCreate
0.5,398054944,3880,102591.5,84640.0,2048,1048000,114113.3,cuMemMap
0.5,382820544,192,1993857.0,569088.0,20256,11568128,2980698.1,cuLibraryLoadData
0.5,380954752,26960,14130.4,14048.0,4160,102656,3728.9,cuLaunchKernel
0.5,338095264,142969,2364.8,1920.0,288,550336,2651.0,cudaEventQuery
0.3,212652000,500,425304.0,20672.0,1632,2655008,899191.8,cudaHostAlloc
0.3,203520736,3104,65567.2,47808.0,27360,5383744,103248.1,cuMemUnmap
0.2,125104704,55448,2256.3,2112.0,480,2395520,12157.5,cudaEventRecord
0.2,123510880,356552,346.4,224.0,128,73440,391.4,cudaGetDriverEntryPointByVersion_v12050
0.1,101786656,6212,16385.5,10576.0,64,322304,26092.2,cuMemRelease
0.1,93719488,24680,3797.4,480.0,128,15851744,179749.3,cuKernelSetAttribute
0.1,92840992,41008,2264.0,1952.0,416,1528512,15931.2,cudaStreamWaitEvent
0.1,91450144,88124,1037.7,928.0,128,101952,905.7,cudaStreamIsCapturing_v10000
0.1,82268992,42299,1944.9,1600.0,224,7994752,40797.0,cudaEventCreateWithFlags
0.1,80431776,7408,10857.4,7328.0,1504,2443296,56015.5,cudaMemcpyAsync
0.1,71095200,512,138857.8,6896.0,2144,1423776,248325.1,cudaStreamCreateWithPriority
0.1,65439328,41456,1578.5,1152.0,256,9599968,48281.5,cudaEventDestroy
0.1,53425312,8,6678164.0,5757568.0,4195680,14878976,3366891.4,cuModuleLoadData
0.0,35562912,64,555670.5,499616.0,139136,1881632,329745.8,cuModuleLoad
0.0,32623264,124854,261.3,256.0,32,54944,321.2,cuKernelGetName
0.0,29362944,25204,1165.0,640.0,256,1432544,19604.4,cudaGetFuncBySymbol_v11000
0.0,27614400,148992,185.3,160.0,32,49440,289.6,cuKernelGetAttribute
0.0,21042912,5228,4025.0,3040.0,448,2336480,45571.8,cudaEventRecordWithFlags_v11010
0.0,16718144,3880,4308.8,3936.0,832,96736,3719.6,cuMemAddressReserve
0.0,14184224,184,77088.2,4928.0,1728,1081216,169242.3,cudaStreamCreateWithFlags
0.0,12527840,39718,315.4,192.0,128,56992,952.4,cudaThreadExchangeStreamCaptureMode_v10010
0.0,11105728,20,555286.4,92016.0,26688,1550016,644896.4,cuLibraryUnload
0.0,5044960,3104,1625.3,1440.0,544,22432,1049.7,cuMemAddressFree
0.0,4523104,52,86982.8,8784.0,1984,570208,144152.0,cudaFree
0.0,4316448,116,37210.8,27424.0,6112,273280,43484.0,cudaDeviceSynchronize
0.0,3424192,3104,1103.2,928.0,192,15264,795.3,cuMemRetainAllocationHandle
0.0,2719488,10984,247.6,128.0,32,28928,411.9,cuGetProcAddress_v2
0.0,2123680,20,106184.0,74144.0,61664,254048,64925.9,cudaMemPoolCreate_v11020
0.0,1776288,328,5415.5,1632.0,192,449504,25413.7,cuLibraryGetKernel
0.0,1733152,64,27080.5,15312.0,4384,182208,39805.1,cudaFreeHost
0.0,1211264,16,75704.0,78896.0,36480,118816,23452.4,cudaMemPoolDestroy_v11020
0.0,1041120,3896,267.2,192.0,32,41568,1429.4,cuMemGetAllocationGranularity
0.0,943712,1256,751.4,608.0,160,5920,791.9,cudaStreamGetCaptureInfo_v12030
0.0,535072,44,12160.7,8608.0,5568,26400,6139.2,cudaStreamDestroy
0.0,198304,36,5508.4,3248.0,1536,23936,6432.4,cuInit
0.0,99968,144,694.2,608.0,64,2400,534.3,cudaGetDeviceProperties_v12000
0.0,57664,20,2883.2,2928.0,1504,3904,698.5,cudaMemPoolSetAttribute_v11020
0.0,57504,120,479.2,352.0,288,4416,597.5,cudaOccupancyMaxActiveClusters_v11070
0.0,30112,80,376.4,224.0,160,2144,420.1,cuOccupancyMaxActiveClusters
0.0,25568,33,774.8,160.0,64,3648,1107.9,cuModuleGetLoadingMode
0.0,13984,4,3496.0,3200.0,2624,4960,1016.1,cudaOccupancyAvailableDynamicSMemPerBlock_v10200
0.0,13120,8,1640.0,1696.0,1216,2080,327.6,cuOccupancyAvailableDynamicSMemPerBlock
