Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
45.3,24618319277568,1597,15415353336.0,3444306016.0,3104,116205964288,22769300247.7,pthread_cond_wait
31.2,16954970985984,86936,195028193.0,100063520.0,1024,120484330976,3055061972.4,pthread_cond_timedwait
11.6,6283691855360,24024,261558935.0,100119488.0,1024,105196219072,1403592510.8,poll
3.0,1627216294144,13907,117006996.1,100062784.0,1054880,60001996160,1015812859.9,clock_nanosleep
2.6,1393211918208,138569,10054282.8,10057824.0,1056,20287744,211582.4,epoll_wait
2.3,1234480362592,402,3070846673.1,1077343808.0,9920,105197542816,14339817702.1,sem_wait
1.6,892719858560,309,2889061030.9,1480701856.0,53101824,10000522624,3086064916.0,sem_clockwait
1.6,875483243552,142383,6148790.5,2464.0,1024,105195582400,762947285.9,read
0.6,308291750624,773,398825033.1,65069408.0,1024,30645271008,1177455829.8,epoll_pwait
0.1,30020828224,46947,639462.1,50528.0,1024,389764480,8011861.6,ioctl
0.0,17349670848,76101,227982.2,79200.0,1024,74162976,1087492.1,open64
0.0,15533983008,373028,41642.9,3744.0,1024,58178848,436507.4,stat64
0.0,10786277344,5992,1800113.0,1408.0,1024,964820736,20524969.7,waitpid
0.0,10265606080,477,21521186.8,7200.0,1024,4016457024,266970652.0,pthread_mutex_lock
0.0,9071383200,920,9860199.1,68288.0,1024,998096512,75666965.2,pthread_join
0.0,8894446720,150,59296311.5,4592.0,1024,1040404864,189822480.7,futex
0.0,2125912352,831672,2556.2,2112.0,1536,1619744,3467.1,mmap64
0.0,2001469152,49787,40200.6,2592.0,1216,1815565408,8137360.0,accept
0.0,1458409376,63390,23006.9,1664.0,1024,83821920,346825.5,fstat64
0.0,1194253664,106595,11203.7,5344.0,1024,46816992,223120.1,close
0.0,905646080,144,6289208.9,3271872.0,748320,110634976,15123075.4,fork
0.0,504572032,43884,11497.9,11232.0,1600,1220384,10525.8,openat
0.0,431504448,2639,163510.6,29728.0,1024,6793152,280732.5,stat
0.0,323470624,6339,51028.7,6752.0,1024,75595296,1696435.3,recvmsg
0.0,302942336,76916,3938.6,1184.0,1024,12367616,141161.2,lstat64
0.0,262147104,403,650489.1,505600.0,371200,1178112,235782.8,pthread_create
0.0,240322912,5326,45122.6,35584.0,1120,8954080,181653.4,open
0.0,208829184,3084,67713.7,2560.0,1024,6369312,245233.1,fopen64
0.0,182226368,36,5061843.6,5060992.0,5054976,5077536,4805.2,nanosleep
0.0,145449728,35365,4112.8,2720.0,1376,586272,10438.3,send
0.0,130622912,25401,5142.4,2496.0,1024,2239712,28980.4,recv
0.0,123328608,3520,35036.5,8160.0,1024,58408000,985725.3,fopen
0.0,121057024,7593,15943.2,2528.0,1024,2845760,98355.6,write
0.0,81277120,2993,27155.7,6816.0,1952,57467168,1050292.8,socket
0.0,71424096,39,1831387.1,303488.0,1600,9587584,2656996.0,pthread_rwlock_wrlock
0.0,29968512,17170,1745.4,1184.0,1024,509344,7195.5,fclose
0.0,28338176,51,555650.5,3168.0,1088,18332704,2728865.9,fwrite
0.0,26380000,2240,11776.8,4064.0,1024,323488,24552.2,fread
0.0,24219744,1659,14599.0,8256.0,5536,118016,13829.6,connect
0.0,23961056,1695,14136.3,5216.0,1024,3047072,98078.0,fgets
0.0,17326592,3801,4558.4,3072.0,1024,801344,13766.5,pthread_cond_signal
0.0,13495520,5209,2590.8,1920.0,1024,32224,2643.6,openat64
0.0,10913696,132,82679.5,67712.0,1024,600672,90767.9,fstat
0.0,9625952,58,165964.7,18384.0,13440,2087008,514656.3,backtrace
0.0,9186592,604,15209.6,8928.0,1056,81664,13209.3,shutdown
0.0,9126144,1152,7922.0,7408.0,3424,18272,2500.5,sendmsg
0.0,8938240,574,15571.8,16512.0,1280,36896,6852.4,fstatat
0.0,6009440,35,171698.3,1504.0,1024,1141792,339061.6,pread
0.0,5083392,165,30808.4,19552.0,1024,103072,28665.9,close_range
0.0,3734848,610,6122.7,5472.0,2208,23360,3687.9,pipe2
0.0,3278816,6,546469.3,552192.0,483616,594912,36603.3,wait3
0.0,3268256,12,272354.7,259552.0,230336,325408,30448.9,fallocate
0.0,3215488,1308,2458.3,2080.0,1088,23520,1817.8,bind
0.0,2321024,2,1160512.0,1160512.0,1041856,1279168,167804.9,posix_spawn
0.0,2165280,48,45110.0,18288.0,10272,222272,58113.0,sem_timedwait
0.0,1931840,16,120740.0,115616.0,95680,160256,17801.9,flock
0.0,1691904,3,563968.0,628384.0,336000,727520,203553.5,fallocate64
0.0,1240352,2,620176.0,620176.0,599936,640416,28623.7,wait
0.0,838496,19,44131.4,41792.0,16800,131712,23926.8,pthread_rwlock_rdlock
0.0,605184,467,1295.9,1152.0,1024,3040,348.3,fcntl64
0.0,571744,40,14293.6,5120.0,1568,308352,48265.1,lstat
0.0,486880,140,3477.7,2944.0,1088,11712,2401.9,epoll_ctl
0.0,427072,175,2440.4,1376.0,1024,33888,3087.6,pthread_cond_broadcast
0.0,408640,132,3095.8,1488.0,1024,39424,5964.1,sigaction
0.0,402400,76,5294.7,1680.0,1024,192064,22546.4,fdopen
0.0,228672,106,2157.3,1664.0,1024,7456,1325.1,listen
0.0,195872,32,6121.0,3760.0,2208,18368,4836.9,mmap
0.0,186080,30,6202.7,5424.0,1088,14560,3891.1,fputs
0.0,171840,22,7810.9,8240.0,3680,14208,2877.2,pipe
0.0,166656,102,1633.9,1424.0,1024,3520,591.8,dup2
0.0,126592,32,3956.0,3360.0,2176,10272,1720.3,fputs_unlocked
0.0,115488,54,2138.7,1888.0,1056,3936,768.8,signal
0.0,111680,8,13960.0,12848.0,10528,20032,3526.2,munmap
0.0,106880,71,1505.4,1440.0,1024,2208,319.0,fflush
0.0,95872,66,1452.6,1280.0,1024,9760,1065.1,fcntl
0.0,94304,18,5239.1,5680.0,2592,8352,1550.7,fwrite_unlocked
0.0,86592,19,4557.5,5696.0,1120,8800,2591.8,getc
0.0,57600,8,7200.0,7088.0,6496,8224,612.7,getdelim
0.0,57504,6,9584.0,10144.0,3264,12416,3291.7,accept4
0.0,52992,8,6624.0,5328.0,4160,15936,3822.1,mprotect
0.0,42848,4,10712.0,10656.0,7968,13568,3098.4,fgetc
0.0,27680,14,1977.1,1904.0,1024,2848,549.7,putc
0.0,19840,12,1653.3,1536.0,1056,2496,563.1,waitid
0.0,17696,12,1474.7,1584.0,1024,2016,366.2,statx
0.0,16896,15,1126.4,1088.0,1024,1472,118.0,dup
0.0,8352,4,2088.0,2320.0,1216,2496,588.5,prctl
0.0,6496,4,1624.0,1776.0,1152,1792,315.0,getentropy
0.0,2240,2,1120.0,1120.0,1088,1152,45.3,fputc
0.0,1312,1,1312.0,1312.0,1312,1312,0.0,pthread_mutex_trylock
